timestamp,ticker,action,entry_price,exit_time,exit_price,exit_reason,return,similarity_score,sentiment_class,actual_execution,confidence,importance,news_title
2025-01-02 16:02:00,EURUSD,-0.3,1.02632,2025-01-02 17:03:00,1.02581,time_limit,0.0001490763114817372,0.7,-1.0,True,0.9,0.8,EUR/USD Opens 2025 with Fresh Two-Year-Low: 1.0200 Next Big Level Down
2025-01-02 20:06:23,EURUSD,-0.4,1.02706,2025-01-02 21:07:00,1.02689,time_limit,6.62084006776638e-05,0.7,-1.0,True,0.9,0.8,"U.S. Dollar Hits Two-Year High: Analysis For EUR/USD, GBP/USD, USD/CAD, USD/JPY"
2025-01-03 10:38:38,EURUSD,-0.4,1.02825,2025-01-03 11:39:00,1.02918,time_limit,-0.00036177972283000257,0.8,-1.0,True,0.8,0.7,EUR/USD can finally reach parity – Societe Generale
2025-01-06 00:51:00,EURUSD,-0.6,1.0312,2025-01-06 04:09:00,1.03639,stop_loss,-0.003019782777346797,0.8,-1.0,True,0.8,0.8,MUFG expect EUR/USD under parity - Trump tariffs to hit quickly
2025-01-06 04:41:55,EURUSD,-0.4,1.03496,2025-01-06 06:22:00,1.04138,stop_loss,-0.002481255314214992,0.3,-1.0,True,0.7,0.6,"Gold, Silver, EUR/USD Technical Analysis: Inflation, Jobs Data, and Market Implications"
2025-01-06 16:45:02,EURUSD,-0.4,1.03894,2025-01-06 17:46:00,1.039,time_limit,-2.3100467784452998e-05,0.8,1.0,True,0.8,0.7,"U.S. Dollar Is Under Pressure Amid Tariff Policy Reports: Analysis For EUR/USD, GBP/USD, USD/CAD, USD/JPY"
2025-01-07 01:27:15,EURUSD,-0.7,1.04001,2025-01-07 15:25:00,1.03478,take_profit,0.0035201584600148524,0.9,-1.0,True,0.9,0.8,EUR/USD weakens below 1.0400 on Trump's tariff threats
2025-01-08 13:42:14,EURUSD,-0.3,1.03134,2025-01-08 14:43:00,1.03124,time_limit,2.9088370469483097e-05,0.3,-1.0,True,0.8,0.9,US dollar stranglehold on global FX sets stage for euro parity: Reuters poll
2025-01-08 16:35:27,EURUSD,-0.4,1.03151,2025-01-08 17:36:00,1.03173,time_limit,-8.53118244127964e-05,0.7,-1.0,True,0.8,0.7,"U.S. Dollar Climbs Towards Yearly Highs: Analysis For EUR/USD, GBP/USD, USD/CAD, USD/JPY"
2025-01-09 10:04:04,EURUSD,-0.4,1.03043,2025-01-09 11:05:00,1.02968,time_limit,0.0002911405917917873,0.7,-1.0,True,0.8,0.7,EUR/USD consolidates around 1.03 as bond market gets stressed over inflation
2025-01-09 17:02:00,EURUSD,-0.4,1.02975,2025-01-09 18:02:00,1.03001,time_limit,-0.00010099538722996805,0.3,-1.0,True,0.8,0.7,Euro Technical Analysis: EUR/USD 1.0300 Test as USD Strength Continues
2025-01-09 17:55:16,EURUSD,0.4,1.02991,2025-01-09 18:56:00,1.02972,time_limit,-7.379285568647144e-05,0.3,-1.0,False,0.8,0.7,EURUSD Headed For Further Decline Ahead of US Jobs Data
2025-01-13 06:57:18,EURUSD,-0.4,1.01958,2025-01-13 17:12:00,1.0252,stop_loss,-0.0022048294395731415,0.8,-1.0,True,0.8,0.7,Euro Weakens: EUR/USD Faces Growing Downside Risks
2025-01-13 14:01:28,EURUSD,-0.4,1.02157,2025-01-13 17:50:00,1.02704,stop_loss,-0.0021418013449885425,0.3,-1.0,False,0.8,0.7,EUR/USD –13.01.2025
